reference_pressure;hx711 10,1,1,1,1,
24476;-6697435
24510;-6696732
24572;-6695611
24572;-6695552
24572;-6695969
24638;-6695258
24669;-6695213
24700;-6694426
24731;-6693251
24731;-6693995
24763;-6692882
24765;-6692600
24796;-6692524
24859;-6691067
24859;-6691609
24859;-6692507
24890;-6690735
24953;-6690344
24984;-6690133
24984;-6690289
25051;-6688626
25051;-6689338
25084;-6688285
25116;-6688036
25149;-6687997
25182;-6687791
25247;-6686819
25247;-6687376
25279;-6686153
25342;-6685480
25345;-6685540
25375;-6685197
25407;-6684426
25407;-6684723
25472;-6684176
25538;-6683594
25538;-6683956
25570;-6682990
25633;-6683005
25665;-6682178
25665;-6682372
25730;-6681826
25760;-6681066
25793;-6680546
25855;-6680499
25858;-6680433
25921;-6679797
25951;-6679435
25983;-6679464
26017;-6679369
26082;-6678924
26116;-6678646
26147;-6678107
26213;-6677625
26215;-6676956
26281;-6676474
26312;-6676477
26343;-6676467
26409;-6676113
26443;-6675471
26474;-6674876
26505;-6674717
26605;-6674795
26639;-6674660
26670;-6674449
26701;-6673506
26767;-6672397
26798;-6672280
26863;-6672294
26894;-6672315
26926;-6671518
26991;-6671422
27056;-6671129
27089;-6670426
27154;-6670039
27189;-6669889
27255;-6669553
27320;-6669306
27356;-6668284
27418;-6668724
27483;-6668179
27516;-6667761
27581;-6667768
27614;-6667105
27712;-6667025
27747;-6666327
27813;-6666526
27875;-6666560
27940;-6665804
28003;-6665909
28040;-6665670
28105;-6664687
28136;-6664754
28238;-6664327
28306;-6663793
28371;-6664039
28436;-6664543
28501;-6663590
28569;-6663483
28637;-6663167
28699;-6663757
28798;-6663387
28863;-6662829
28928;-6662695
28993;-6661049
29096;-6661537
29125;-6661883
29229;-6662721
29296;-6661991
29393;-6661449
29429;-6661185
29529;-6660735
29593;-6661225
29693;-6660826
29758;-6660182
29825;-6660332
29919;-6659556
29990;-6659620
30097;-6659492
30157;-6659641
30258;-6659432
30325;-6658541
30426;-6658088
30526;-6658197
30593;-6658539
30694;-6658140
30791;-6658605
30862;-6658503
31021;-6658827
31095;-6658199
31197;-6657747
31235;-6658165
31366;-6658187
31475;-6657266
31672;-6658139
31676;-6658788
31813;-6658115
31880;-6657077
32014;-6658286
32113;-6657967
32255;-6657189
32390;-6658487
32452;-6658623
32591;-6657507
32726;-6657644
32824;-6657183
32930;-6658372
33103;-6657006
33213;-6658369
33316;-6657263
33450;-6657315
33553;-6657082
33725;-6656898
33862;-6657263
33965;-6657264
34071;-6657054
34246;-6656440
34353;-6657662
34527;-6657188
34638;-6658035
34769;-6656990
34944;-6656716
35049;-6657763
35190;-6659041
35369;-6656310
35510;-6658323
35692;-6659215
35792;-6657540
35983;-6659589
36150;-6659406
36323;-6659356
36435;-6658781
36659;-6659697
36836;-6658483
37040;-6660173
37152;-6659209
37336;-6658146
37587;-6659473
37730;-6658737
37874;-6660383
38065;-6658762
38242;-6658237
38537;-6660268
38682;-6660212
38864;-6658848
39087;-6658750
39282;-6661505
39502;-6660875
39697;-6661967
39946;-6661866
40137;-6663219
40553;-6667618
40807;-6667923
41047;-6670790
41210;-6671489
41431;-6675752
41673;-6678595
41926;-6679120
42159;-6682704
42434;-6684834
